Statistic,Annual,Local Government Districts,Components of Change,UNIT,VALUE
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,rest-of-world-net,count,-111
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,total-inflows,count,3812
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,total-outflows,count,4543
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,total-net,count,-731
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,other-changes,count,-42
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,migration-and-other-changes,count,-773
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,end-population,count,151109
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,starting-population,count,117397
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,births,count,1393
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,deaths,count,1004
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,natural-change,count,389
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,internal-inflows,count,2212
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,internal-outflows,count,2430
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,internal-net,count,-218
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,united-kingdom-inflows,count,624
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,united-kingdom-outflows,count,742
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,united-kingdom-net,count,-118
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,rest-of-world-inflows,count,514
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,rest-of-world-outflows,count,525
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,rest-of-world-net,count,-11
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,total-inflows,count,3350
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,total-outflows,count,3697
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,total-net,count,-347
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,other-changes,count,-102
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,migration-and-other-changes,count,-449
components-of-population-change-local-government-districts,2019-2020,fermanagh-and-omagh,end-population,count,117337
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,starting-population,count,146002
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,births,count,1697
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,deaths,count,1246
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,natural-change,count,451
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,internal-inflows,count,4450
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,internal-outflows,count,3889
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,internal-net,count,561
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,united-kingdom-inflows,count,853
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,united-kingdom-outflows,count,939
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,united-kingdom-net,count,-86
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,rest-of-world-inflows,count,528
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,rest-of-world-outflows,count,609
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,rest-of-world-net,count,-81
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,total-inflows,count,5831
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,total-outflows,count,5437
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,total-net,count,394
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,other-changes,count,-395
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,migration-and-other-changes,count,-1
components-of-population-change-local-government-districts,2019-2020,lisburn-and-castlereagh,end-population,count,146452
components-of-population-change-local-government-districts,2019-2020,mid-and-east-antrim,starting-population,count,139274
components-of-population-change-local-government-districts,2019-2020,mid-and-east-antrim,births,count,1408
components-of-population-change-local-government-districts,2019-2020,mid-and-east-antrim,deaths,count,1377
components-of-population-change-local-government-districts,2019-2020,mid-and-east-antrim,natural-change,count,31
components-of-population-change-local-government-districts,2019-2020,mid-and-east-antrim,internal-inflows,count,2642
components-of-population-change-local-government-districts,2019-2020,mid-and-east-antrim,internal-outflows,count,2450
components-of-population-change-local-government-districts,2019-2020,mid-and-east-antrim,internal-net,count,192
components-of-population-change-local-government-districts,2019-2020,mid-and-east-antrim,united-kingdom-inflows,count,657
components-of-population-change-local-government-districts,2019-2020,mid-and-east-antrim,united-kingdom-outflows,count,727
components-of-population-change-local-government-districts,2019-2020,mid-and-east-antrim,united-kingdom-net,count,-70
components-of-population-change-local-government-districts,2019-2020,mid-and-east-antrim,rest-of-world-inflows,count,545
components-of-population-change-local-government-districts,2019-2020,mid-and-east-antrim,rest-of-world-outflows,count,656
components-of-population-change-local-government-districts,2019-2020,mid-and-east-antrim,rest-of-world-net,count,-111
components-of-population-change-local-government-districts,2019-2020,mid-and-east-antrim,total-inflows,count,3844
components-of-population-change-local-government-districts,2019-2020,mid-and-east-antrim,total-outflows,count,3833
